Symbol,Name
TSLA,"Tesla, Inc."
PLTR,Palantir Technologies Inc.
AMD,"Advanced Micro Devices, Inc."
RIVN,"Rivian Automotive, Inc."
BAC,Bank of America Corporation
NIO,NIO Inc.
AAPL,Apple Inc.
F,Ford Motor Company
T,AT&T Inc.
AAL,American Airlines Group Inc.
AMZN,"Amazon.com, Inc."
LCID,"Lucid Group, Inc."
NVDA,NVIDIA Corporation
GOOGL,Alphabet Inc.
WBD,"Warner Bros. Discovery, Inc."
PLUG,Plug Power Inc.
CCL,Carnival Corporation & plc
HZNP,Horizon Therapeutics Public Limited Company
NU,Nu Holdings Ltd.
NEE,"NextEra Energy, Inc."
U,Unity Software Inc.
ITUB,Itaú Unibanco Holding S.A.
MSFT,Microsoft Corporation
SNAP,Snap Inc.
RUN,Sunrun Inc.
